嘰	叽
嚕	噜
脣	唇
諄	谆
噚	㖊
嚇	吓
澀	涩
嚴	严
囂	嚣
攣	挛
塊	块
緙	缂
辮	辫
穩	稳
蕩	荡
鄉	乡
減	减
預	预
殤	殇
營	营
約	约
繞	绕
謊	谎
軲	轱
積	积
顱	颅
魷	鱿
莖	茎
峽	峡
廬	庐
氈	毡
質	质
蟲	虫
漁	渔
監	监
釣	钓
訊	讯	訊
闕	阙
棧	栈
攤	摊
籌	筹
贏	赢
慘	惨
蝦	虾
礎	础
堅	坚
壘	垒
堯	尧
販	贩
塗	涂
塹	堑
墊	垫
墜	坠
墮	堕
墾	垦
壓	压
軸	轴
習	习
壟	垄
壯	壮	壯
麗	丽	利
壼	壸
輔	辅
陽	阳
洩	泄
煩	烦
賈	贾
麼	么	麽
盜	盗
裏	里
够	夠
薑	姜	薑
夥	伙	夥
劑	剂
掃	扫
獲	获
廝	厮
瀝	沥
牀	床	牀
癲	癫
慳	悭
窩	窝
纜	缆
絞	绞
艙	舱
灑	洒
荳	豆
蔴	蔴	麻
蠔	蚝
貪	贪
騾	骡
紛	纷
鱷	鳄
鴉	鸦
驕	骄
壇	坛
願	愿
談	谈
誅	诛
滅	灭
麩	麸
曆	历
輻	辐
穠	秾
憶	忆
諸	诸
階	阶
嫋	袅
蹟	迹
奪	夺
賴	赖
搵	揾
許	许
償	偿
訣	诀
頤	颐
齡	龄
礙	碍
蘇	苏
藍	蓝
婭	娅
脅	胁
娛	娱
閣	阁
綠	绿
葉	叶
璣	玑
鎖	锁
遷	迁
鐸	铎
擲	掷
孿	孪
檢	检
畢	毕
導	导
潤	润
訪	访
鑼	锣
恥	耻
寢	寝
鑿	凿
給	给
寬	宽
寵	宠
暉	晖
覓	觅
厴	厣
轎	轿
鋭	锐	鋭
禡	祃
崙	仑
瀨	濑
屢	屡
貼	贴
峯	峯	峰
鬍	胡
岡	冈
巒	峦
峇	巴	峇
鷹	鹰
崢	峥
嶸	嵘
潰	溃
嶄	崭
巋	岿
巖	岩
搖	摇
撓	挠
餉	饷
幗	帼
諾	诺
呎	尺	呎
鑒	鉴
竅	窍
爲	为
棄	弃
撐	撑
龐	庞
築	筑
弔	吊
軒	轩
彌	弥
彫	彫	雕
徵	征	徵
詢	询
購	购
徹	彻
療	疗
腎	肾
甦	苏
臟	脏
恆	恒
籬	篱
惻	恻
悽	凄
緒	绪
聖	圣
霧	雾
闌	阑
撫	抚
歎	叹
慚	惭
慮	虑
憫	悯
憲	宪
懇	恳
摯	挚
懲	惩
懸	悬
鳩	鸠
戶	户
掙	挣
鐐	镣
纈	缬
缽	钵
鉢	鉢	钵
鉸	铰
賞	赏
躉	趸
韆	千
鞦	秋
扠	扠	叉
虧	亏
盪	荡
續	续
讓	让
瀟	潇
買	买
檯	台
簽	签
紗	纱
鍊	炼
拋	抛
諫	谏
飾	饰
徠	徕
禿	秃
蘆	芦
選	选
瘡	疮
挾	挟	夹
捱	挨	捱
餓	饿
捲	卷
闥	闼
異	异
掗	挜
採	采
擷	撷
觸	触
託	托	讬
昇	升
鮓	鲊
揮	挥
揹	背
㨘	擤
損	损
撳	揿
憐	怜
搗	捣
摋	𢫬
摑	掴
編	编	編
摺	折	摺
攪	搅
撉	蹾
闆	板
撟	挢
墻	墙
撲	扑	撲
鷓	鹧
鴣	鸪
擁	拥
綱	纲
擴	扩
攔	拦
攬	揽
𢺳	𪮳	𢺳
穫	获
榜	榜	搒
鷂	鹞
顰	颦
啟	启
稟	禀
敍	敍	叙
敘	叙
誨	诲
潔	洁
飭	饬
驢	驴
紮	紮	扎
蘿	萝
蔔	卜
確	确
嘜	唛
勗	勖	勗
轟	轰
違	违
暢	畅
暫	暂
曨	昽
綫	线	綫
鈺	钰
蹺	跷
遲	迟
蔭	荫
賠	赔
鬎	瘌	鬎
鬁	痢	鬁
癩	癞
薊	蓟
纓	缨
邁	迈
鄭	郑
縛	缚
濤	涛
沈	沉	沈
枴	拐	枴
樑	梁
鏞	镛
潛	潜
紂	纣
驁	骜
馴	驯
蟬	蝉
啓	启	啓
錦	锦
艷	艳
梘	枧
紡	纺
鴛	鸳
